1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	lowerCI	upperCI	meanCI
-0.5 to 0.5	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.576330996582502	0.713935670084165	0.645133333333333
-0.4 to 0.6	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.576330996582502	0.713935670084165	0.645133333333333
-0.3 to 0.7	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.973333333333333	0.666666666666667	0.313333333333333	0.333333333333333	0.333333333333333	0.966666666666667	1	0.98	0.653333333333333	1	0.333333333333333	0.62	0.973333333333333	1	0	0.966666666666667	0.326666666666667	0.666666666666667	0.333333333333333	0	0.986666666666667	0.576330996582502	0.713935670084165	0.645133333333333
-0.2 to 0.8	0.95	1	0.97	0.98	1	0.5	0.93	0.96	1	0	0.95	0	1	0	0	1	0.96	1	0.47	0.5	0.5	0.95	1	0.97	0.98	1	0.5	0.93	0.96	1	0	0.95	0	1	0	0	1	0.96	1	0.47	0.5	0.5	0.95	1	0.97	0.98	1	0.5	0.93	0.96	1	0	0.95	0	1	0	0	1	0.96	1	0.47	0.5	0.5	0.95	1	0.97	0.98	1	0.5	0.93	0.96	1	0	0.95	0	1	0	0	1	0.96	1	0.47	0.5	0.5	0.95	1	0.97	0.98	1	0.5	0.93	0.96	1	0	0.95	0	1	0	0	1	0.620951754797033	0.777448245202967	0.6992
-0.1 to 0.9	0.92	1	1	0.98	1	0	0.88	0.92	1	0	0.9	0	1	0	0	1	0.92	1	0	1	0	0.92	1	1	0.98	1	0	0.88	0.92	1	0	0.9	0	1	0	0	1	0.92	1	0	1	0	0.92	1	1	0.98	1	0	0.88	0.92	1	0	0.9	0	1	0	0	1	0.92	1	0	1	0	0.92	1	1	0.98	1	0	0.88	0.92	1	0	0.9	0	1	0	0	1	0.92	1	0	1	0	0.92	1	1	0.98	1	0	0.88	0.92	1	0	0.9	0	1	0	0	1	0.555984281230365	0.737615718769635	0.6468
0 to 1	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.61838055992186	0.76141944007814	0.6899
0.1 to 1.1	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.61838055992186	0.76141944007814	0.6899
0.2 to 1.2	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.61838055992186	0.76141944007814	0.6899
0.3 to 1.3	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.96	0.97	0.48	1	0.5	0.46	0.93	1	0.49	1	0	0.94	0.94	1	0.49	0.95	0.5	0.97	0	0	1	0.61838055992186	0.76141944007814	0.6899
0.4 to 1.4	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5	1	0.92	0.98	0.99	1	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5	1	0.92	0.98	0.99	1	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5	1	0.92	0.98	0.99	1	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5	1	0.92	0.98	0.99	1	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5	0.626627142599243	0.741572857400757	0.6841
